	shape	carat	color	clarity	cut	depth	table	lab	price	url	img_url	cert_url	vid_url	date
62	round	1.50	G	SI1	Signature Ideal	62.9%	58%	GIA	$9957	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-G-SI1-yd1974433	https://yadav-gemstone-graphics.s3.amazonaws.com/1974433_1.jpg	https://yadav-certs.s3.amazonaws.com/1278885011.pdf		03/20/18 23:45:47
63	round	1.52	H	SI1	Signature Ideal	60.4%	57%	GIA	$9965	https://www.yadavjewelry.com/diamond/round-diamond-1.52-carat-H-SI1-yd2145419	https://yadav-gemstone-graphics.s3.amazonaws.com/2145419_1.jpg	https://yadav-certs.s3.amazonaws.com/2195057774.pdf	http://www.yadavjewelry.com/diamonds/videos/2145419	03/20/18 23:45:48
64	round	1.50	H	VS2	Signature Ideal	62.5%	57%	GIA	$10008	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-VS2-yd2055489	https://yadav-gemstone-graphics.s3.amazonaws.com/2055489_1.jpg	https://yadav-certs.s3.amazonaws.com/5192063711.jpg	http://www.yadavjewelry.com/diamonds/videos/2055489	03/20/18 23:45:49
65	round	1.50	G	SI1	Signature Ideal	61.8%	57%	GIA	$10054	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-G-SI1-yd2126749	https://yadav-gemstone-graphics.s3.amazonaws.com/2126749_1.jpg	https://yadav-certs.s3.amazonaws.com/7281224231.jpg	http://www.yadavjewelry.com/diamonds/videos/2126749	03/20/18 23:45:50
66	round	1.50	H	VS2	Signature Ideal	61.9%	61%	GIA	$10061	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-VS2-yd2117246	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/2183766991.pdf		03/20/18 23:45:50
67	round	1.50	H	SI1	Signature Ideal	63.2%	55%	GIA	$10062	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2033398	https://yadav-gemstone-graphics.s3.amazonaws.com/2033398_1.jpg	https://yadav-certs.s3.amazonaws.com/6285106076.pdf	http://www.yadavjewelry.com/diamonds/videos/2033398	03/20/18 23:45:51
68	round	1.50	G	SI1	Signature Ideal	61.1%	61%	GIA	$10063	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-G-SI1-yd1962582	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/5263469872.pdf		03/20/18 23:45:52
69	round	1.52	H	SI1	Signature Ideal	60.0%	60%	GIA	$10070	https://www.yadavjewelry.com/diamond/round-diamond-1.52-carat-H-SI1-yd1856932	https://yadav-gemstone-graphics.s3.amazonaws.com/1856932_1.jpg	https://yadav-certs.s3.amazonaws.com/2277372055.pdf	http://www.yadavjewelry.com/diamonds/videos/1856932	03/20/18 23:45:53
70	round	1.50	H	SI1	Signature Ideal	57.0%	62%	GIA	$10076	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd1859595	https://yadav-gemstone-graphics.s3.amazonaws.com/1859595_1.jpg	https://yadav-certs.s3.amazonaws.com/3245419146.pdf	http://www.yadavjewelry.com/diamonds/videos/1859595	03/20/18 23:45:54
71	round	1.51	G	SI1	Signature Ideal	62.4%	58%	GIA	$10083	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-G-SI1-yd2140988	https://yadav-gemstone-graphics.s3.amazonaws.com/2140988_1.jpg	https://yadav-certs.s3.amazonaws.com/2277045434.pdf		03/20/18 23:45:55
72	round	1.52	G	SI1	Signature Ideal	62.7%	55%	GIA	$10100	https://www.yadavjewelry.com/diamond/round-diamond-1.52-carat-G-SI1-yd1972505	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/1176141136.pdf		03/20/18 23:45:56
73	round	1.50	G	SI1	Signature Ideal	62.7%	57%	GIA	$10100	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-G-SI1-yd1808820	https://yadav-gemstone-graphics.s3.amazonaws.com/1808820_1.jpg	https://yadav-certs.s3.amazonaws.com/6271552379.pdf	https://yadav-videos.s3.amazonaws.com/6271552379.mp4	03/20/18 23:45:56
74	round	1.50	H	VS2	Signature Ideal	62.6%	59%	GIA	$10108	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-VS2-yd2022082	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/5181923041.pdf		03/20/18 23:45:57
75	round	1.50	H	VS2	Signature Ideal	62.4%	58%	GIA	$10124	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-VS2-yd2060928	https://yadav-gemstone-graphics.s3.amazonaws.com/2060928_1.jpg	https://yadav-certs.s3.amazonaws.com/1186998013.jpg	http://www.yadavjewelry.com/diamonds/videos/2060928	03/20/18 23:45:58
76	round	1.50	H	SI1	Signature Ideal	61.9%	59%	GIA	$10135	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2121776	https://yadav-gemstone-graphics.s3.amazonaws.com/2121776_1.jpg	https://yadav-certs.s3.amazonaws.com/5192049098.pdf	http://www.yadavjewelry.com/diamonds/videos/2121776	03/20/18 23:45:59
77	round	1.51	H	VS2	Signature Ideal	61.9%	57%	GIA	$10136	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-VS2-yd2062116	https://yadav-gemstone-graphics.s3.amazonaws.com/2062116_1.jpg	https://yadav-certs.s3.amazonaws.com/5191098502.jpg	http://www.yadavjewelry.com/diamonds/videos/2062116	03/20/18 23:46:00
78	round	1.50	G	SI1	Signature Ideal	62.5%	57%	GIA	$10152	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-G-SI1-yd2002563	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/2256775817.pdf		03/20/18 23:46:00
79	round	1.51	G	SI1	Signature Ideal	61.9%	57%	GIA	$10159	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-G-SI1-yd2168742	https://yadav-gemstone-graphics.s3.amazonaws.com/2168742_1.jpg	https://yadav-certs.s3.amazonaws.com/6285409808.pdf	http://www.yadavjewelry.com/diamonds/videos/2168742	03/20/18 23:46:01
80	round	1.50	H	VS2	Signature Ideal	62.1%	60%	GIA	$10192	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-VS2-yd2039511	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/1243140250.pdf		03/20/18 23:46:02
